Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
525680.0,178240.0,-0.19117,51.489096,1,2,1,1,2005-01-04,3,17:42:00,12,E09000020,3,3218,6,30,0,-1,-1,0,0,1,1,2,2,0,0,1,1,E01002849
524680.0,179450.0,-0.205139,51.500191,1,2,2,1,2005-01-20,5,00:15:00,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002864
526790.0,178980.0,-0.174925,51.495498,1,2,1,1,2005-01-08,7,03:00:00,12,E09000020,3,4,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002821
523910.0,181390.0,-0.215545,51.517796,1,2,2,2,2005-02-01,3,17:30:00,12,E09000020,4,412,2,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002878
524100.0,181830.0,-0.212653,51.521709,1,2,1,1,2005-02-15,3,18:15:00,12,E09000020,4,450,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01002905
524830.0,179160.0,-0.203081,51.497552,1,2,2,1,2005-03-01,3,19:15:00,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01002814
525000.0,180660.0,-0.200102,51.510995,1,2,2,1,2005-03-05,7,18:40:00,12,E09000020,4,415,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002882
524730.0,179110.0,-0.204539,51.497125,1,2,2,1,2005-03-15,3,09:40:00,12,E09000020,3,315,3,30,6,2,3,3220,0,5,1,1,1,0,0,1,1,E01002867
524120.0,180010.0,-0.213006,51.505347,1,2,2,1,2005-03-09,4,09:13:00,12,E09000020,3,402,2,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01002873
524290.0,179420.0,-0.210765,51.500008,1,2,2,1,2005-03-16,4,20:20:00,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002866
